Index,Location,Name,Category,Time,Image,url,Timings
1,T3,4 Fingers Crispy Chicken,Fast Food,2-3 hours,https://d22ir9aoo7cbf6.cloudfront.net/wp-content/uploads/sites/2/2018/10/Saltwater-Halal-Restaurants-Singapore-1024x731.png,https://maps.google.com/?cid=9266259424122822557,1030 AM - 2 AM
2,T1,4 Fingers Crispy Chicken,Fast Food,2-3 hours,https://d22ir9aoo7cbf6.cloudfront.net/wp-content/uploads/sites/2/2018/10/Saltwater-Halal-Restaurants-Singapore-1024x731.png,https://maps.google.com/?cid=7794164807286069570,1030 AM - 2 AM
3,Jewel,A&W,Fast Food ,2-3 hours,https://d22ir9aoo7cbf6.cloudfront.net/wp-content/uploads/sites/2/2018/10/Saltwater-Halal-Restaurants-Singapore-1024x731.png,"https://www.google.com/maps/place/A%26W+-+Jewel/@1.3601071,103.9899949,17z/data=!3m2!4b1!5s0x31da3c8963249ae3:0xc478987240ae1e46!4m5!3m4!1s0x31da3d9abe107e11:0x46c78ac67e238b2e!8m2!3d1.3601071!4d103.9899949",7 AM - 3 AM
4,T3,A-One Signature,Claypot/ Chinese,2-3 hours,https://d22ir9aoo7cbf6.cloudfront.net/wp-content/uploads/sites/2/2018/10/Saltwater-Halal-Restaurants-Singapore-1024x731.png,https://maps.google.com/?cid=1616732864880375613,1030 AM - 11 PM
5,Jewel,A-One Signature,Claypot/ Chinese,2-3 hours,https://d22ir9aoo7cbf6.cloudfront.net/wp-content/uploads/sites/2/2018/10/Saltwater-Halal-Restaurants-Singapore-1024x731.png,"https://www.google.com/maps/place/A-One+Signature/@1.3602882,103.9899195,17z/data=!3m2!4b1!5s0x31da3c8963249ae3:0xc478987240ae1e46!4m5!3m4!1s0x31da3d87ebc34969:0x69a84797c4f18f14!8m2!3d1.3602882!4d103.9899195",7 AM - 2 AM
6,Jewel,Aloha Poke,Hawaiian ,2-3 hours,https://d22ir9aoo7cbf6.cloudfront.net/wp-content/uploads/sites/2/2018/10/Saltwater-Halal-Restaurants-Singapore-1024x731.png,"https://www.google.com/maps/place/Aloha+Pok%C3%A9+(Jewel+Changi+Airport)/@1.3597677,103.9897944,17z/data=!3m1!4b1!4m5!3m4!1s0x31da3d4ef1ae3743:0x6babe99c68a31bf5!8m2!3d1.3597677!4d103.9897944",10 AM - 12 AM
7,Jewel,An Acai Affair,Juice Bar,2-3 hours,https://d22ir9aoo7cbf6.cloudfront.net/wp-content/uploads/sites/2/2018/10/Saltwater-Halal-Restaurants-Singapore-1024x731.png,"https://www.google.com/maps/place/AN+ACAI+AFFAIR/@1.3603215,103.9894945,17z/data=!3m2!4b1!5s0x31da3c8963249ae3:0xc478987240ae1e46!4m5!3m4!1s0x31da3d438ec5ca5b:0x2ee1721427c6bdae!8m2!3d1.3603215!4d103.9894945",7 AM - 12 AM
8,Jewel,Andersen's of Denmark,Ice Cream,2-3 hours,https://d22ir9aoo7cbf6.cloudfront.net/wp-content/uploads/sites/2/2018/10/Saltwater-Halal-Restaurants-Singapore-1024x731.png,"https://www.google.com/maps/place/Andersen's+of+Denmark/@1.3602203,103.9903562,17z/data=!3m2!4b1!5s0x31da3c8963249ae3:0xc478987258a3f6e7!4m5!3m4!1s0x31da3dd55d3e1bc3:0xb4ddf5724ab79bce!8m2!3d1.3602203!4d103.9903562",9 AM - 11 PM
9,T4,Andes by Astons,Halal,2-3 hours,https://d22ir9aoo7cbf6.cloudfront.net/wp-content/uploads/sites/2/2018/10/Saltwater-Halal-Restaurants-Singapore-1024x731.png,"https://www.google.com/maps/place/Andes+by+Astons/@1.337121,103.9827884,17z/data=!3m1!4b1!4m5!3m4!1s0x31da3cc7761ab9e7:0x6bcecd9ea9c78ca9!8m2!3d1.337121!4d103.9827884",1030 AM - 11 PM
10,T2,Archipalego Craft Brew House,Beer Bar,2-3 hours,https://d22ir9aoo7cbf6.cloudfront.net/wp-content/uploads/sites/2/2018/10/Saltwater-Halal-Restaurants-Singapore-1024x731.png,http://www.changiairport.com/content/cag/en/maps.html#20/1.3558955/103.990085/-67,Open 24 hours
11,Jewel,Arteastiq Bistro,Western,2-3 hours,https://d22ir9aoo7cbf6.cloudfront.net/wp-content/uploads/sites/2/2018/10/Saltwater-Halal-Restaurants-Singapore-1024x731.png,"https://www.google.com/maps/place/Arteastiq/@1.3605494,103.9881384,17z/data=!3m1!5s0x31da3c8963249ae3:0xc4789872f4d1d33a!4m8!1m2!2m1!1sArteastiq+Bistro+Jewel+changi+airport!3m4!1s0x31da3c89797cbd27:0x5be43545b6b34fac!8m2!3d1.3605494!4d103.9903271",10 AM - 12 AM
12,Jewel,Auntie Annie's,Bakery,2-3 hours,https://d22ir9aoo7cbf6.cloudfront.net/wp-content/uploads/sites/2/2018/10/Saltwater-Halal-Restaurants-Singapore-1024x731.png,"https://www.google.com/maps/place/Auntie+Anne's/@1.3603121,103.9874635,17z/data=!3m1!5s0x31da3c8963249ae3:0xc478987240ae1e46!4m8!1m2!2m1!1sAuntie+Annie's+Jewel+changi+airport!3m4!1s0x31da3c8bd79fa6b9:0x878f136f04e8932a!8m2!3d1.3603121!4d103.9896522",7 AM - 12 AM
