Index,Location,Name,Category,Image,Timings
1,T1,7-Eleven,Shopping,http://www.changiairport.com/content/dam/cag/ikiosk/logo/865.jpg,Open 24 Hours
2,T3,8 by Bottles & Bottles,Duty Free Alcohol,http://www.changiairport.com/content/dam/cag/ikiosk/logo/1533.png,Open 24 Hours
3,Jewel ,Ace Bags & Luggage,Shopping,http://www.changiairport.com/content/dam/jca-project/tenant/60/ace-bags-luggage-logo.jpg,Open 24 Hours
4,Jewel,Action City,Shopping,http://www.changiairport.com/content/dam/jca-project/tenant/60/actioncity_logo.jpg,10 AM - 11 PM
5,Jewel,Adidas,Footwear,http://www.changiairport.com/content/dam/jca-project/tenant/60/ace-bags-luggage-logo.jpg,10 AM -10 PM
6,Jewel,American Tourister,Shopping,http://www.changiairport.com/content/dam/jca-project/tenant/60/actioncity_logo.jpg,10 AM -10 PM
7,Jewel,Anello,Shopping,http://www.changiairport.com/content/dam/cag/shop/shop_logos/270x270-logos-adidas.jpg,10 AM - 10 PM
8,Jewel,APM Monaco,Shopping,http://www.changiairport.com/content/dam/jca-project/tenant/60/american_tourister_logo.jpg,10 AM - 10 PM
9,Jewel,Apple,Shopping,http://www.changiairport.com/content/dam/jca-project/tenant/60/anello_brand_logo_size_2.jpg,10 AM - 10 PM
10,Jewel,Aptimos,Shopping,http://www.changiairport.com/content/dam/jca-project/tenant/60/apm_brand_logo_size_2.jpg,9 AM - 11 PM
11,Jewel,Artisan Fine Gallery,Shopping,http://www.changiairport.com/content/dam/jca-project/tenant/60/Apple%20logo_60x60.jpg,10 AM - 10 PM
12,T1,AVIS/Budget,Shopping,http://www.changiairport.com/content/dam/jca-project/tenant/60/aptimos_brand_logo_size_2.jpg,10 AM - 10 PM
19,Jewel,Bakery Cuisine Premium,Shopping,http://www.changiairport.com/content/dam/jca-project/tenant/60/bata_brand_logo_size_2.png,Open 24 Hours
20,Jewel,Bata,Shopping,http://www.changiairport.com/content/dam/cag/ikiosk/logo/1536.jpg,7 AM - 11 PM
21,T1,Bee Cheng Hiang,Shopping,http://www.changiairport.com/content/dam/cag/ikiosk/logo/1536.jpg,7 AM - 11 PM
22,T2,Bee Cheng Hiang,Shopping,http://www.changiairport.com/content/dam/cag/ikiosk/logo/1464.jpg,Open 24 Hours
23,T4,Bee Cheng Hiang,Shopping,http://www.changiairport.com/content/dam/cag/ikiosk/logo/1464.jpg,Open 24 Hours
24,Jewel,Bee Cheng Hiang,Shopping,http://www.changiairport.com/content/dam/cag/ikiosk/logo/1464.jpg,Open 24 Hours
25,T3,Bengawan Solo,Shopping,http://www.changiairport.com/content/dam/jca-project/tenant/60/bakery_cuisine_premium_60px.jpg,10 AM - 10 PM
26,T1,Bengawan Solo,Shopping,http://www.changiairport.com/content/dam/jca-project/tenant/60/bata_brand_logo_size_2.png,10 AM - 10 PM
27,T2,Bengawan Solo,Shopping,http://www.changiairport.com/content/dam/cag/ikiosk/logo/1547.jpg,6 AM - 12 AM
28,T4,Bengawan Solo,Shopping,http://www.changiairport.com/content/dam/cag/ikiosk/logo/1547.jpg,6 AM - 12 AM
29,Jewel,Bengawan Solo,Shopping,http://www.changiairport.com/content/dam/cag/ikiosk/logo/1547.jpg,6 AM - 12 AM
30,T1,Big Bus Solo,Shopping,http://www.changiairport.com/content/dam/cag/ikiosk/logo/1547.jpg,9 AM - 11 PM
32,T3,Big Bus Solo,Shopping,http://www.changiairport.com/content/dam/cag/ikiosk/logo/1546.jpg,6 AM - 12 AM
33,T4,Big Bus Solo,Shopping,http://www.changiairport.com/content/dam/cag/ikiosk/logo/1546.jpg,6 AM - 12 AM
34,Jewel,Blackmores,Shopping,http://www.changiairport.com/content/dam/jca-project/tenant/60/blackmores_brand_logo_size_2.jpg,Open 24 Hours
