Index No,Tip,Type
1,🕒 Avg time to exit airport is 1 hour,Arrival
2,📱 Prepaid sim cards are available at all the Cheers and 7-Eleven outlets,Arrival
3,💵 Money Exchange outlets like TravelEx and American Express are situated in all the terminals,Arrival
4,"📱 Android and iOS applications like Grab, City mapper and SG MRT Map comes handy during your stay in Singapore ",Arrival
6,🛒 Check out our Krisshop to buy essential items before departing,Departure
7,⌛ Please be present at your gate 30 minutes before departure,Departure
9, 🛋️ You can enjoy one of our world class lounge facilities at SilverKris Lounge ,Transit
10,🛒 Check out our Krisshop to buy essential items before departing,Transit
11, 🛍️ Duty free shops provide a large diversity of shopping attractions at affordable prices,Transit
, 🛍️ Duty free shops provide a large diversity of shopping attractions at affordable prices,Departure
, 🛍️ Duty free shops provide a large diversity of shopping attractions at affordable prices,Arrival
