AccessibleTo,Location,Address,Name,Timings,Image,url
Transit,T1,"Level 2, Departure Lounge (Near D Gates)",Gaurdian at Terminal 1,6:00 AM-12:00 AM,https://cardback.files.wordpress.com/2013/02/guardian-pharmacy-front-800.jpg,http://www.changiairport.com/en/shop/shopping-directory/guardian-health---beauty.html
Transit,T1,"Level 2, Departure Lounge (Central)",Gaurdian at T1,"24 hours, daily",https://cardback.files.wordpress.com/2013/02/guardian-pharmacy-front-800.jpg,http://www.changiairport.com/en/shop/shopping-directory/guardian-health---beauty.html
Transit,T2,Level 2,Gaurdian at Terminal 2,07:00 AM-11:00 PM,https://cardback.files.wordpress.com/2013/02/guardian-pharmacy-front-800.jpg,http://www.changiairport.com/en/shop/shopping-directory/guardian-health---beauty.html
Transit,T2,"Level 2, Departure Lounge (Near F Gates)",Gaurdian at T2,"24 hours, daily",https://cardback.files.wordpress.com/2013/02/guardian-pharmacy-front-800.jpg,http://www.changiairport.com/en/shop/shopping-directory/guardian-health---beauty.html
Transit,T2,"Level 2, Departure Lounge (Near E Gates)",Gaurdian Pharmacy at Terminal 2,"24 hours, daily",https://cardback.files.wordpress.com/2013/02/guardian-pharmacy-front-800.jpg,http://www.changiairport.com/en/shop/shopping-directory/guardian-health---beauty.html
Public,T3,Basement 2,Gaurdian Pharmacy at Terminal 3,10:00 AM-11:00 PM,https://cardback.files.wordpress.com/2013/02/guardian-pharmacy-front-800.jpg,http://www.changiairport.com/en/shop/shopping-directory/guardian-health---beauty.html
Public,T3,Level 2,Watson's Pharmacy at Terminal 3,07:00 AM-11:00 PM,https://insideretail.asia/wp-content/uploads/2016/06/Watson-Philippines.jpg,http://www.changiairport.com/en/shop/shopping-directory/watson-s-personal-care-store.html
Transit,T3,"Level 2, Departure Lounge (Central)","Watson's Pharmacy at Terminal 3, Level2","24 hours, daily",http://www.changiairport.com/en/shop/shopping-directory/watson-s-personal-care-store.html,http://www.changiairport.com/en/shop/shopping-directory/watson-s-personal-care-store.html
Transit,T3,"Level 2, Departure Lounge (Near B Gates)",Watson's Pharmacy at T3,06:00 AM-01:00 AM,https://insideretail.asia/wp-content/uploads/2016/06/Watson-Philippines.jpg,http://www.changiairport.com/en/shop/shopping-directory/watson-s-personal-care-store.html
Public,T4,Level 2,Watson's Pharmacy at Terminal 4,07:00 AM-11:00 PM,https://insideretail.asia/wp-content/uploads/2016/06/Watson-Philippines.jpg,http://www.changiairport.com/en/shop/shopping-directory/watson-s-personal-care-store.html
Public,Jewel,#B2-217/218,Watson's Pharmacy at Jewel,10:00AM - 10:00PM,https://insideretail.asia/wp-content/uploads/2016/06/Watson-Philippines.jpg,http://www.changiairport.com/en/shop/shopping-directory/watson-s-personal-care-store.html
Transit,T4,"Level 2, Departure Transit",AIRPORT PHARMACY,"24 hours, daily",https://i2.wp.com/shopsinsg.com/wp-content/uploads/2019/05/airport-pharmacy-changi-airport-singapore.jpg?w=500&ssl=1,http://www.changiairport.com/en/shop/shopping-directory/airport-pharmacy.html
,,,,,,
